Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education
1960,Belgium,BEL,EU,11649.37,10.248826370274074,2.9257495920705754,3.0675499999999993,34083.1395253792,88.39157753485529,30211.6003961569,9.3630073802784,10.315981248686157,1.1208791973885874
1961,Belgium,BEL,EU,12188.77,10.723377092255246,2.956127858314313,3.4351439999999993,36031.56255558575,93.81145997501922,31734.5745757133,9.40827031500533,10.365162046127265,1.234058846193015
1962,Belgium,BEL,EU,12773.1,11.237456112231628,2.9868215442585186,3.8027379999999993,38150.970266968485,99.42022848874969,33286.29682609004,9.455096676026457,10.412901084552386,1.3357213335936653
1963,Belgium,BEL,EU,13229.65,11.63911746210279,3.017833924928391,4.170331999999999,39924.88658492889,105.09413224152749,34824.35907867966,9.490215801732607,10.458072394420636,1.4279956489484544
1964,Belgium,BEL,EU,14016.71,12.331553300520481,3.049168309353949,4.537925999999999,42739.30793340459,111.12003760755631,36442.736619908064,9.548005468285876,10.50349744789294,1.5124700794816348
1965,Belgium,BEL,EU,14384.57,12.6551873913399,3.080828040923105,4.905519999999998,44316.38661262127,117.10802274244284,38011.86602656145,9.573911383289996,10.545653653821192,1.5903611016693622
1966,Belgium,BEL,EU,14738.64,12.966689382685608,3.112816497738406,5.273113999999998,45878.68174622718,123.04823076058187,39529.5485133742,9.598227895543552,10.584803734858802,1.6626210798860341
1967,Belgium,BEL,EU,15223.77,13.393494706665452,3.145137092977479,5.640707999999997,47880.84372195776,129.0588316216124,41034.405752861254,9.630613301137217,10.622166158488533,1.7300095895463892
1968,Belgium,BEL,EU,15800.0,13.900447547835663,3.177793275257217,6.008301999999997,50209.13374906403,135.2157492721513,42550.20310004485,9.667765219015058,10.658439907199172,1.793142179510109
1969,Belgium,BEL,EU,16799.87,14.78010833832012,3.2107885290017464,6.3758959999999965,53940.829884720566,141.88291265414233,44189.42928585041,9.729126427266173,10.696240883034607,1.852524630188009
1970,Belgium,BEL,EU,17849.49,7.92,3.244126374814219,6.743489999999996,57906.00128598265,141.28993789489377,43552.53820929988,9.789730215371042,10.68172326322981,1.9085775950642068
1971,Belgium,BEL,EU,18527.15,8.52,3.2778103698524585,7.1110839999999955,60728.48439381198,141.33254162120014,43117.973791620476,9.826992502809137,10.671695214488565,1.9616546935161843
1972,Belgium,BEL,EU,19432.03,9.88,3.3118441082085126,7.478677999999995,64355.85406603106,142.7325891239281,43097.61705575476,9.87467801452602,10.671222985833774,2.012056038398476
1973,Belgium,BEL,EU,20607.18,13.17,3.3462312212921415,7.846271999999995,68956.389098787,147.3386337764924,44031.217221025705,9.933394837739751,10.692654143632852,2.0600385145328803
1974,Belgium,BEL,EU,21480.26,16.97,3.3809753782182916,8.213865999999994,72624.23017772724,155.46831574990284,45983.27356995767,9.974889652832598,10.736032991301762,2.1058237017903894
1975,Belgium,BEL,EU,20997.21,17.49,3.416080286198591,8.581459999999995,71728.15514617192,163.63021680490868,47899.99153883943,9.952144850736412,10.776870606756807,2.1496040621939234
1976,Belgium,BEL,EU,22144.52,19.18,3.4515496909369103,8.949053999999995,76432.91116194623,172.99240379661416,50120.21245148466,10.005345340800643,10.822179647857459,2.1915478283762795
1977,Belgium,BEL,EU,22255.68,22.06,3.48738737702903,9.316647999999995,77614.17749919744,184.6728595688173,52954.50135113569,10.010352535914638,10.877188358769185,2.231802907353173
1978,Belgium,BEL,EU,22866.82,26.75,3.523597168366457,9.684241999999996,80573.46220154547,200.34248799468824,56857.3756935919,10.037442230562743,10.948301230316302,2.2705000284372634
1979,Belgium,BEL,EU,23381.13,30.19,3.5601829285444366,10.051835999999996,83241.09987607818,218.51193871500692,61376.60426464223,10.059684565765723,11.024784003486653,2.3077553043870895
1980,Belgium,BEL,EU,24393.3,33.68,3.597148561274199,10.419429999999997,87746.32399972991,239.0812223921065,66464.09463483989,10.102063783410577,11.104417150525931,2.343672332333783
1981,Belgium,BEL,EU,24325.81,23.64,3.6344980107994846,10.787023999999997,88412.10805608622,248.3763490485801,68338.55688201201,10.09929320557483,11.132229408706667,2.3783439302911598
1982,Belgium,BEL,EU,24477.2,19.89,3.6722352623173986,11.154617999999997,89886.03696279544,253.36376810566526,68994.42710154079,10.105497350999508,11.14178101367326,2.4118535825648277
1983,Belgium,BEL,EU,24555.48,16.35,3.7103643424036306,11.522211999999998,91109.7774026055,254.51194201932532,68594.86522944768,10.108690326235859,11.135972960029823,2.4442766507243268
1984,Belgium,BEL,EU,25161.49,16.52,3.7488893194420925,11.889805999999998,94327.64112224903,255.7612254981658,68223.19991464246,10.133069930046576,11.130539960686761,2.4756813943374514
1985,Belgium,BEL,EU,25569.49,16.37,3.7878143040590153,12.257399999999999,96852.47996949396,256.78555196827585,67792.5398014113,10.149155122837985,11.124207435446912,2.5061298362395257
1986,Belgium,BEL,EU,26026.28,22.28,3.827143449561556,12.624994,99606.30701845493,263.65841885017926,68891.7001217669,10.166862075751128,11.14029098707162,2.535678499913786
1987,Belgium,BEL,EU,26603.93,29.33,3.8668809523809538,12.992588,102874.23017547623,277.1689137191685,71677.64333383662,10.18881422821757,11.179934169511187,2.5643790410158713
1988,Belgium,BEL,EU,27772.05,35.48,3.9070310525202934,13.360182,108506.2617421462,296.0187788960184,75765.65809607955,10.231785398246021,11.235400409549559,2.5922787907702016
1989,Belgium,BEL,EU,28631.32,38.63,3.947598034006913,13.727776,113024.9425430228,316.88765216225727,80273.53581403225,10.262256502513093,11.293195279165488,2.6194212255961653
1990,Belgium,BEL,EU,29441.66,49.99,3.9885862253495112,14.09537,117430.59952742369,347.86439303252183,87214.96123655676,10.290165957122754,11.376131168993691,2.6458463746649588
1991,Belgium,BEL,EU,29870.15,48.08,4.03,14.17917,120376.7045,375.07252945057047,93070.10656341698,10.304614932958511,11.44110832216048,2.651773986245575
1992,Belgium,BEL,EU,30204.56,53.04,4.08,15.448935,123234.6048,405.60817768353627,99413.76904008242,10.315748185342091,11.507045904581448,2.7375400689289973
1993,Belgium,BEL,EU,29797.41,49.29,4.1,16.7187,122169.381,430.5616870225241,105015.0456152498,10.302176755964686,11.561858910448212,2.816527853437602
1994,Belgium,BEL,EU,30664.31,53.91,4.17,17.01413,127870.17270000001,458.6379858011726,109985.12848948983,10.330854716584035,11.60810044008472,2.83404417529093
1995,Belgium,BEL,EU,31329.89,62.76,4.2,17.40259,131585.538,493.8797066531022,117590.4063459767,10.352327872928264,11.674962732428266,2.8566190457180483
1996,Belgium,BEL,EU,31681.94,60.39,4.21,17.68018,133380.9674,524.636924253916,124616.84661613208,10.363502081427168,11.732999081782973,2.8724442381531463
1997,Belgium,BEL,EU,32804.36,56.35,4.23,17.654573,138762.44280000002,549.508708798681,129907.49616990096,10.398316712367516,11.774577908229265,2.8709948433048047
1998,Belgium,BEL,EU,33376.57,57.78,4.27,17.628965,142517.9539,574.3181862707601,134500.74619924123,10.41560943579465,11.80932502595839,2.869543287936612
1999,Belgium,BEL,EU,34479.91,58.59,4.37,17.60336,150677.2067,598.4490950945145,136944.87301933972,10.448132114565405,11.827333737110854,2.8680897929141937
2000,Belgium,BEL,EU,35674.79,56.32,4.42,17.77131,157682.5718,618.8621493888437,140014.0609477022,10.482199555852588,11.84949813188888,2.877585359201784
2001,Belgium,BEL,EU,35943.24,53.58,4.32,18.30985,155274.7968,635.3104204255131,147062.59732072064,10.489696306524678,11.898613607233855,2.907439166408188
2002,Belgium,BEL,EU,36393.24,53.61,4.37,18.48285,159038.4588,650.8017951999823,148924.89592676942,10.502138322092085,11.911197403666826,2.916843275101957
2003,Belgium,BEL,EU,36617.38,66.69,4.4,18.70292,161116.472,678.4436874879832,154191.7471563598,10.508278270065498,11.945952218292328,2.9286796614030606
2004,Belgium,BEL,EU,37761.28,83.69,4.49,18.48071,169548.1472,721.4270662387041,160674.17956318578,10.539039517989988,11.987133864038094,2.916727485388932
2005,Belgium,BEL,EU,38426.05,91.34,4.63,18.83531,177912.6115,769.4814422643818,166194.6959534302,10.55649089399311,12.02091524725663,2.935733299729028
2006,Belgium,BEL,EU,39147.76,97.86,4.65,19.05408,182037.08400000003,821.1725557285189,176596.24854376752,10.575098483945535,12.081621324252344,2.947281251869245
2007,Belgium,BEL,EU,40290.23,115.86,4.73,19.09912,190572.78790000002,887.7622023848078,187687.56921454708,10.603864286781658,12.142533993501093,2.9496422606927477
2008,Belgium,BEL,EU,40151.85,134.18,4.78,19.13726,191925.843,968.6764702417192,202651.981222117,10.600423795523847,12.219245408579683,2.951637220082174
2009,Belgium,BEL,EU,39025.22,106.83,4.8,19.16604,187321.056,1017.3858820272161,211955.39208900335,10.571963382779659,12.264131116839364,2.9531399629485064
2010,Belgium,BEL,EU,39777.93,107.84,4.89,19.21768,194514.0777,1064.1827291055831,217624.27998069185,10.591067514854938,12.290525368532872,2.955830688660144
2011,Belgium,BEL,EU,39929.09,129.06,4.88,19.04888,194853.95919999998,1129.391765359248,231432.7388031246,10.59486040991528,12.352044565165121,2.947008307193436
2012,Belgium,BEL,EU,39975.57,117.57,4.91,19.1601,196280.0487,1179.198259437693,240162.57829688245,10.596023796512318,12.389071382556173,2.952829991735775
2013,Belgium,BEL,EU,39970.32,119.02,4.96,19.35096,198252.7872,1227.4663638714312,247473.0572321434,10.595892457677826,12.419056995397131,2.9627420306482373
2014,Belgium,BEL,EU,40421.42,125.13,4.98,19.70777,201298.6716,1278.9483820391451,256816.9441845673,10.607115121463735,12.456118830648355,2.9810129742259575
2015,Belgium,BEL,EU,41008.3,107.53,4.99,19.79196,204631.41700000002,1309.7414791167964,262473.24230797525,10.62152976422282,12.47790442175333,2.9852757946294965
2016,Belgium,BEL,EU,41318.02,114.69,5.0,19.65691,206590.09999999998,1345.8469903697887,269169.39807395777,10.629054003401992,12.50309619300254,2.978428930443534
2017,Belgium,BEL,EU,41825.76,121.88,5.08,19.76102,212474.86080000002,1386.9761709476015,273026.80530464597,10.641267696640323,12.517325257276084,2.983711310420683
2018,Belgium,BEL,EU,42382.32,138.65,5.14,19.56149,217845.1248,1442.4076006907455,280624.0468269933,10.654486573127167,12.544771140865292,2.9735628375745575
2019,Belgium,BEL,EU,43098.48,132.44,5.19,19.56839,223681.11120000004,1488.3031446493007,286763.6116857998,10.671243008648604,12.566413502690814,2.9739155092449803
2020,Belgium,BEL,EU,40636.8,127.49,5.17,19.27527,210092.25600000002,1526.4949559703427,295260.14622250345,10.612429338994714,12.595612098320982,2.958822927133386
2021,Belgium,BEL,EU,43273.64,146.29,5.26,18.94574,227619.34639999998,1581.195258612122,300607.4636144719,10.675298952629719,12.613560585049568,2.9415791041458355
2022,Belgium,BEL,EU,44198.2,159.85,5.37,18.99603,237344.334,1646.1735430953945,306550.00802521314,10.696439343254646,12.633136179369966,2.944230009965477
2023,Belgium,BEL,EU,44283.21,163.32,5.42,18.99603,240014.9982,1710.7231305096707,315631.5738947732,10.698360877419999,12.662330906976317,2.944230009965477
